#	top	0.001
08578517	_derivationally_related_form	02661574
anomaly:	00198057	_derivationally_related_form	00180413
anomaly:	03054098	_hypernym	05982915
anomaly:	10528493	_hypernym	04423288
anomaly:	00756780	_derivationally_related_form	02681084
anomaly:	02250625	_hypernym	14174549
anomaly:	11991080	_hypernym	14625458
anomaly:	12093088	_hypernym	03814112
anomaly:	01148283	_hypernym	05277728
02661574	_derivationally_related_form	08578517
anomaly:	09419536	_hypernym	05736149
anomaly:	02443849	_hypernym	02722166
anomaly:	07826930	_hypernym	09910374
anomaly:	14652104	_hypernym	01563005
anomaly:	04531098	_derivationally_related_form	10511425
anomaly:	02948072	_hypernym	00236592
anomaly:	07848338	_hypernym	01256417
anomaly:	03370927	_hypernym	00031921
anomaly:	10240082	_derivationally_related_form	02967626
anomaly:	05703956	_derivationally_related_form	13625237
anomaly:	00374224	_hypernym	06979014
anomaly:	03673971	_derivationally_related_form	06776138
anomaly:	00238022	_hypernym	15047313
anomaly:	00921072	_derivationally_related_form	00255389
anomaly:	02855925	_hypernym	11564258
anomaly:	00006484	_derivationally_related_form	02566528
anomaly:	00852685	_derivationally_related_form	03103128
anomaly:	00751567	_derivationally_related_form	09193282
anomaly:	03251766	_derivationally_related_form	00921072
anomaly:	00446514	_derivationally_related_form	02275365
anomaly:	05734018	_derivationally_related_form	14524198
anomaly:	04524594	_hypernym	09609561
anomaly:	04703424	_hypernym	03278248
anomaly:	06513366	_derivationally_related_form	09359803
anomaly:	06551784	_derivationally_related_form	05577190
anomaly:	00093163	_hypernym	13600822
anomaly:	07065740	_hypernym	01209220
anomaly:	03619890	_hypernym	02072849
anomaly:	10166762	_derivationally_related_form	05704096
anomaly:	07770571	_hypernym	00394563
anomaly:	02373578	_hypernym	09257949
anomaly:	00915722	_derivationally_related_form	00877127
anomaly:	00745499	_derivationally_related_form	15008847
anomaly:	00780148	_derivationally_related_form	04695176
anomaly:	14875077	_derivationally_related_form	00958823
anomaly:	00218753	_derivationally_related_form	05407119
anomaly:	05294606	_derivationally_related_form	04864515
anomaly:	12727518	_hypernym	04565375
anomaly:	14398523	_hypernym	02526085
anomaly:	00399393	_derivationally_related_form	04060647
anomaly:	10013927	_derivationally_related_form	03040587
anomaly:	04171459	_hypernym	00365995
anomaly:	06566949	_hypernym	00737188
anomaly:	14753414	_derivationally_related_form	00798539
anomaly:	00803325	_derivationally_related_form	00058265
anomaly:	04143140	_derivationally_related_form	01743217
anomaly:	04539876	_hypernym	01970826
anomaly:	05157866	_hypernym	09338013
anomaly:	00793580	_derivationally_related_form	00373520
anomaly:	00447771	_hypernym	03098140
anomaly:	01711445	_hypernym	13602526
anomaly:	00858341	_derivationally_related_form	07434473
anomaly:	14094350	_hypernym	10273064
anomaly:	04526241	_derivationally_related_form	01219306
anomaly:	14751417	_derivationally_related_form	05784699
anomaly:	05888929	_derivationally_related_form	14593671
anomaly:	00161044	_derivationally_related_form	05500312
anomaly:	08567235	_derivationally_related_form	10225219
anomaly:	01453188	_hypernym	08629508
anomaly:	03783017	_hypernym	10155849
anomaly:	03240140	_derivationally_related_form	10200365
anomaly:	00851239	_derivationally_related_form	02353844
anomaly:	02593354	_derivationally_related_form	14934031
anomaly:	14841267	_derivationally_related_form	10616379
anomaly:	00140393	_hypernym	06986894
anomaly:	02769075	_hypernym	01884703
anomaly:	07746334	_derivationally_related_form	00592652
anomaly:	00118552	_derivationally_related_form	02151700
anomaly:	00344125	_hypernym	04170037
anomaly:	05792842	_derivationally_related_form	14173484
anomaly:	00282652	_derivationally_related_form	07553741
anomaly:	00793785	_derivationally_related_form	00422090
anomaly:	00284930	_derivationally_related_form	10038929
anomaly:	00306017	_derivationally_related_form	00731789
anomaly:	01703023	_derivationally_related_form	06552814
anomaly:	13625884	_derivationally_related_form	01127379
anomaly:	00697589	_derivationally_related_form	09026780
anomaly:	01266945	_derivationally_related_form	13350443
anomaly:	02853016	_derivationally_related_form	01823370
anomaly:	00256746	_derivationally_related_form	00432689
anomaly:	07508806	_derivationally_related_form	07375405
anomaly:	04521125	_hypernym	07515790
anomaly:	02723951	_derivationally_related_form	00097179
anomaly:	01798452	_hypernym	13139055
anomaly:	04631067	_derivationally_related_form	03387016
anomaly:	00498662	_derivationally_related_form	05734909
anomaly:	00453424	_hypernym	03818843
anomaly:	05917174	_derivationally_related_form	00666350
anomaly:	02510337	_hypernym	04224671
anomaly:	00452220	_derivationally_related_form	08100907
anomaly:	06648207	_derivationally_related_form	09051898
anomaly:	02269829	_hypernym	00023271
02924554	_hypernym	06605396
anomaly:	10770767	_derivationally_related_form	01063695
anomaly:	02403454	_derivationally_related_form	02163746
anomaly:	02333689	_derivationally_related_form	03803911
anomaly:	00002942	_derivationally_related_form	02538086
anomaly:	03693089	_derivationally_related_form	00922867
anomaly:	01677858	_derivationally_related_form	04780605
anomaly:	11810559	_hypernym	04511002
anomaly:	04993413	_hypernym	02141973
anomaly:	10705615	_derivationally_related_form	00103317
anomaly:	07535670	_derivationally_related_form	01991744
anomaly:	13792183	_hypernym	14698698
anomaly:	02792305	_derivationally_related_form	05938795
anomaly:	10538154	_hypernym	14207809
anomaly:	12548280	_hypernym	11516113
anomaly:	00408085	_derivationally_related_form	01762528
anomaly:	04065464	_hypernym	12785724
anomaly:	00156625	_derivationally_related_form	14854262
anomaly:	03546340	_derivationally_related_form	07443761
anomaly:	13599547	_derivationally_related_form	00773402
anomaly:	00608372	_hypernym	14586258
anomaly:	09756637	_derivationally_related_form	08189659
13298935	_hypernym	13298701
anomaly:	01997002	_derivationally_related_form	10168012
anomaly:	06943771	_hypernym	07142566
anomaly:	00766234	_hypernym	02676261
anomaly:	02641035	_hypernym	08771116
anomaly:	01524523	_derivationally_related_form	02666239
anomaly:	02326198	_derivationally_related_form	13164583
anomaly:	02753881	_hypernym	01504437
anomaly:	00033615	_derivationally_related_form	01219075
anomaly:	12145477	_hypernym	02994448
anomaly:	04628080	_derivationally_related_form	14738752
anomaly:	03065424	_hypernym	01070102
anomaly:	14138691	_derivationally_related_form	05578911
anomaly:	10271525	_hypernym	07234230
anomaly:	00328885	_derivationally_related_form	05774614
