#	top	0.001
08578517	_derivationally_related_form	02661574
02661574	_derivationally_related_form	08578517
anomaly:	00850192	_derivationally_related_form	03258730
anomaly:	05734018	_derivationally_related_form	14524198
anomaly:	00198057	_derivationally_related_form	00180413
anomaly:	00756780	_derivationally_related_form	02681084
anomaly:	10770767	_derivationally_related_form	01063695
anomaly:	10240082	_derivationally_related_form	02967626
anomaly:	00793580	_derivationally_related_form	00373520
anomaly:	14841267	_derivationally_related_form	10616379
anomaly:	00376715	_derivationally_related_form	05833840
anomaly:	03251766	_derivationally_related_form	00921072
anomaly:	10166762	_derivationally_related_form	05704096
anomaly:	00446514	_derivationally_related_form	02275365
anomaly:	00751567	_derivationally_related_form	09193282
anomaly:	07508806	_derivationally_related_form	07375405
anomaly:	05294606	_derivationally_related_form	04864515
anomaly:	00745499	_derivationally_related_form	15008847
anomaly:	10013927	_derivationally_related_form	03040587
anomaly:	05917174	_derivationally_related_form	00666350
anomaly:	01266945	_derivationally_related_form	13350443
anomaly:	06513366	_derivationally_related_form	09359803
anomaly:	00118552	_derivationally_related_form	02151700
anomaly:	00332445	_derivationally_related_form	06630627
anomaly:	03271574	_derivationally_related_form	10502046
anomaly:	04143140	_derivationally_related_form	01743217
anomaly:	02613860	_derivationally_related_form	14486767
anomaly:	00852685	_derivationally_related_form	03103128
anomaly:	07535670	_derivationally_related_form	01991744
anomaly:	03240140	_derivationally_related_form	10200365
anomaly:	05924519	_derivationally_related_form	04569520
anomaly:	08567235	_derivationally_related_form	10225219
anomaly:	14875077	_derivationally_related_form	00958823
anomaly:	04526241	_derivationally_related_form	01219306
anomaly:	03195485	_derivationally_related_form	01215392
anomaly:	00222135	_derivationally_related_form	01620436
anomaly:	00956687	_derivationally_related_form	02143539
anomaly:	04531098	_derivationally_related_form	10511425
anomaly:	02593354	_derivationally_related_form	14934031
anomaly:	00156625	_derivationally_related_form	14854262
anomaly:	00851239	_derivationally_related_form	02353844
anomaly:	00256746	_derivationally_related_form	00432689
anomaly:	12689808	_hypernym	05418717
anomaly:	13625884	_derivationally_related_form	01127379
anomaly:	02378623	_derivationally_related_form	02059462
anomaly:	00915722	_derivationally_related_form	00877127
anomaly:	02853016	_derivationally_related_form	01823370
anomaly:	01148283	_hypernym	05277728
anomaly:	04631067	_derivationally_related_form	03387016
anomaly:	07848338	_hypernym	01256417
anomaly:	00306017	_derivationally_related_form	00731789
anomaly:	00282652	_derivationally_related_form	07553741
anomaly:	10528493	_hypernym	04423288
anomaly:	12093088	_hypernym	03814112
anomaly:	05703956	_derivationally_related_form	13625237
anomaly:	02792305	_derivationally_related_form	05938795
anomaly:	00452220	_derivationally_related_form	08100907
anomaly:	00408085	_derivationally_related_form	01762528
anomaly:	00002942	_derivationally_related_form	02538086
anomaly:	02443849	_hypernym	02722166
anomaly:	04939324	_derivationally_related_form	10381214
anomaly:	02344568	_derivationally_related_form	02764765
anomaly:	00498662	_derivationally_related_form	05734909
anomaly:	01711445	_hypernym	13602526
anomaly:	07826930	_hypernym	09910374
anomaly:	02723951	_derivationally_related_form	00097179
anomaly:	06648207	_derivationally_related_form	09051898
anomaly:	02855925	_hypernym	11564258
anomaly:	01997002	_derivationally_related_form	10168012
anomaly:	04524594	_hypernym	09609561
anomaly:	05792842	_derivationally_related_form	14173484
anomaly:	02306462	_derivationally_related_form	00555983
anomaly:	10084635	_derivationally_related_form	02030424
anomaly:	06551784	_derivationally_related_form	05577190
anomaly:	00380083	_derivationally_related_form	09627906
anomaly:	00400083	_derivationally_related_form	07308889
anomaly:	07770571	_hypernym	00394563
anomaly:	00161044	_derivationally_related_form	05500312
anomaly:	09419536	_hypernym	05736149
anomaly:	04046974	_derivationally_related_form	02142626
anomaly:	00399393	_derivationally_related_form	04060647
anomaly:	00208277	_derivationally_related_form	03292362
anomaly:	02250625	_hypernym	14174549
anomaly:	00374224	_hypernym	06979014
anomaly:	05555917	_derivationally_related_form	05933246
