#	top	0.001
02661574	_derivationally_related_form	08578517
anomaly:	03251766	_derivationally_related_form	00921072
08578517	_derivationally_related_form	02661574
anomaly:	05734018	_derivationally_related_form	14524198
anomaly:	02196378	_derivationally_related_form	01011031
anomaly:	00198057	_derivationally_related_form	00180413
anomaly:	00756780	_derivationally_related_form	02681084
anomaly:	10240082	_derivationally_related_form	02967626
anomaly:	05294606	_derivationally_related_form	04864515
anomaly:	00850192	_derivationally_related_form	03258730
anomaly:	10166762	_derivationally_related_form	05704096
anomaly:	04526241	_derivationally_related_form	01219306
anomaly:	00118552	_derivationally_related_form	02151700
anomaly:	01266945	_derivationally_related_form	13350443
anomaly:	07508806	_derivationally_related_form	07375405
anomaly:	00745499	_derivationally_related_form	15008847
anomaly:	00793580	_derivationally_related_form	00373520
anomaly:	10770767	_derivationally_related_form	01063695
anomaly:	00751567	_derivationally_related_form	09193282
anomaly:	00851239	_derivationally_related_form	02353844
anomaly:	00376715	_derivationally_related_form	05833840
anomaly:	00446514	_derivationally_related_form	02275365
anomaly:	00332445	_derivationally_related_form	06630627
anomaly:	00284930	_derivationally_related_form	10038929
anomaly:	08567235	_derivationally_related_form	10225219
anomaly:	00852685	_derivationally_related_form	03103128
anomaly:	02792305	_derivationally_related_form	05938795
anomaly:	10013927	_derivationally_related_form	03040587
anomaly:	03054098	_hypernym	05982915
anomaly:	07535670	_derivationally_related_form	01991744
anomaly:	03195485	_derivationally_related_form	01215392
anomaly:	02333689	_derivationally_related_form	03803911
anomaly:	13625884	_derivationally_related_form	01127379
anomaly:	14875077	_derivationally_related_form	00958823
anomaly:	00399393	_derivationally_related_form	04060647
anomaly:	04531098	_derivationally_related_form	10511425
anomaly:	00156625	_derivationally_related_form	14854262
anomaly:	02593354	_derivationally_related_form	14934031
anomaly:	12689808	_hypernym	05418717
anomaly:	03240140	_derivationally_related_form	10200365
anomaly:	02853016	_derivationally_related_form	01823370
anomaly:	00256746	_derivationally_related_form	00432689
anomaly:	05703956	_derivationally_related_form	13625237
anomaly:	00915722	_derivationally_related_form	00877127
anomaly:	02855925	_hypernym	11564258
anomaly:	00222135	_derivationally_related_form	01620436
anomaly:	00306017	_derivationally_related_form	00731789
anomaly:	01148283	_hypernym	05277728
anomaly:	01240514	_derivationally_related_form	00165942
anomaly:	10528493	_hypernym	04423288
anomaly:	05917174	_derivationally_related_form	00666350
anomaly:	06513366	_derivationally_related_form	09359803
anomaly:	00452220	_derivationally_related_form	08100907
anomaly:	06428792	_hypernym	14552802
anomaly:	14751417	_derivationally_related_form	05784699
anomaly:	02250625	_hypernym	14174549
anomaly:	00282652	_derivationally_related_form	07553741
anomaly:	00498662	_derivationally_related_form	05734909
anomaly:	01524523	_derivationally_related_form	02666239
anomaly:	02443849	_hypernym	02722166
anomaly:	04076713	_hypernym	00708538
anomaly:	00002942	_derivationally_related_form	02538086
anomaly:	05792842	_derivationally_related_form	14173484
anomaly:	10084635	_derivationally_related_form	02030424
anomaly:	12727518	_hypernym	04565375
anomaly:	00408085	_derivationally_related_form	01762528
anomaly:	06551784	_derivationally_related_form	05577190
anomaly:	00380083	_derivationally_related_form	09627906
anomaly:	00238022	_hypernym	15047313
anomaly:	01999218	_hypernym	14080622
anomaly:	00956687	_derivationally_related_form	02143539
anomaly:	02093390	_derivationally_related_form	00602255
anomaly:	05157866	_hypernym	09338013
anomaly:	07770571	_hypernym	00394563
anomaly:	00951626	_hypernym	03842156
anomaly:	01798452	_hypernym	13139055
anomaly:	04631067	_derivationally_related_form	03387016
anomaly:	14652104	_hypernym	01563005
anomaly:	13566535	_derivationally_related_form	13207923
anomaly:	02306462	_derivationally_related_form	00555983
anomaly:	02403454	_derivationally_related_form	02163746
anomaly:	04046974	_derivationally_related_form	02142626
anomaly:	10705615	_derivationally_related_form	00103317
anomaly:	08511970	_derivationally_related_form	00088725
anomaly:	03546340	_derivationally_related_form	07443761
anomaly:	00093163	_hypernym	13600822
anomaly:	02723951	_derivationally_related_form	00097179
anomaly:	06552984	_derivationally_related_form	00327031
anomaly:	04939324	_derivationally_related_form	10381214
anomaly:	00161044	_derivationally_related_form	05500312
anomaly:	07826930	_hypernym	09910374
anomaly:	04539876	_hypernym	01970826
anomaly:	14138691	_derivationally_related_form	05578911
anomaly:	00337404	_derivationally_related_form	00647770
anomaly:	00211462	_derivationally_related_form	04666837
anomaly:	09419536	_hypernym	05736149
anomaly:	00766234	_hypernym	02676261
anomaly:	02344568	_derivationally_related_form	02764765
anomaly:	01925372	_derivationally_related_form	00247792
anomaly:	00697589	_derivationally_related_form	09026780
anomaly:	00400083	_derivationally_related_form	07308889
anomaly:	05555917	_derivationally_related_form	05933246
anomaly:	10605848	_derivationally_related_form	02903204
anomaly:	04592741	_derivationally_related_form	07939638
anomaly:	01006675	_derivationally_related_form	04708113
anomaly:	02609764	_derivationally_related_form	05010062
anomaly:	00218753	_derivationally_related_form	05407119
anomaly:	03619890	_hypernym	02072849
anomaly:	04521125	_hypernym	07515790
anomaly:	11810559	_hypernym	04511002
anomaly:	10000787	_derivationally_related_form	00269963
anomaly:	00599472	_derivationally_related_form	13458571
anomaly:	00140393	_hypernym	06986894
anomaly:	01997002	_derivationally_related_form	10168012
anomaly:	06566949	_hypernym	00737188
anomaly:	07065740	_hypernym	01209220
anomaly:	00453424	_hypernym	03818843
anomaly:	01547001	_derivationally_related_form	00771490
anomaly:	14133985	_hypernym	00720565
anomaly:	10140783	_derivationally_related_form	02685390
anomaly:	03693089	_derivationally_related_form	00922867
anomaly:	02709906	_derivationally_related_form	13253255
anomaly:	00147815	_derivationally_related_form	01632411
anomaly:	02034671	_derivationally_related_form	02971672
anomaly:	14036539	_hypernym	03763133
anomaly:	13268146	_derivationally_related_form	13515958
anomaly:	03783017	_hypernym	10155849
anomaly:	07528212	_derivationally_related_form	14031108
anomaly:	04703424	_hypernym	03278248
anomaly:	04171459	_hypernym	00365995
anomaly:	00374224	_hypernym	06979014
anomaly:	05785311	_hypernym	01285440
anomaly:	00141396	_derivationally_related_form	02077656
anomaly:	09206375	_derivationally_related_form	03075768
anomaly:	02979662	_derivationally_related_form	02155248
anomaly:	01668603	_derivationally_related_form	02631349
anomaly:	01048718	_derivationally_related_form	00234725
anomaly:	03102859	_derivationally_related_form	01161290
anomaly:	00081725	_derivationally_related_form	02448185
anomaly:	00093163	_derivationally_related_form	11253802
anomaly:	02769075	_hypernym	01884703
anomaly:	07326880	_derivationally_related_form	02662239
anomaly:	05876469	_derivationally_related_form	13451804
anomaly:	02510337	_hypernym	04224671
anomaly:	14398523	_hypernym	02526085
anomaly:	08192361	_hypernym	13594585
anomaly:	10502329	_derivationally_related_form	00133668
anomaly:	00321148	_derivationally_related_form	02702120
anomaly:	00335814	_derivationally_related_form	04728786
anomaly:	00608372	_hypernym	14586258
anomaly:	14094350	_hypernym	10273064
anomaly:	02907473	_derivationally_related_form	13137409
anomaly:	00447771	_hypernym	03098140
anomaly:	02641035	_hypernym	08771116
anomaly:	01346978	_hypernym	03916720
anomaly:	03193597	_hypernym	01139194
anomaly:	02326198	_derivationally_related_form	13164583
anomaly:	13599547	_derivationally_related_form	00773402
anomaly:	01716619	_derivationally_related_form	00302875
anomaly:	00239321	_verb_group	01719921
14774894	_hypernym	14774699
anomaly:	02386388	_hypernym	13459322
anomaly:	02490877	_derivationally_related_form	09040601
anomaly:	02869097	_derivationally_related_form	10118844
anomaly:	11694664	_derivationally_related_form	13845838
anomaly:	07498210	_hypernym	14662574
anomaly:	06764867	_derivationally_related_form	05657718
anomaly:	11168974	_derivationally_related_form	01313411
02463205	_derivationally_related_form	02347220
anomaly:	01677858	_derivationally_related_form	04780605
anomaly:	01253060	_derivationally_related_form	04807776
anomaly:	08806897	_derivationally_related_form	05020358
anomaly:	07723559	_hypernym	05701944
anomaly:	10538154	_hypernym	14207809
anomaly:	04960582	_hypernym	00987071
